family,method_label,bibkey,update_target,signal_source,B1,B2,B3,B4,timing_regime,venue,evidence_status,note_path,rationale_short
F1,CPT-LM,ke2023cptlm,parameters,token NLL on unlabeled text,Y,Y,Y,N/A, offline_corpus,arXiv 2023,explicit,read/ke2023cptlm.md,"Continued-pretraining on unlabeled domain text with token NLL; no judge, no external verifier."
F1,Simple CPT,qian2024simplescalable,parameters,token NLL on unlabeled text,Y,Y,Y,N/A, offline_corpus,arXiv 2024,explicit,read/qian2024simplescalable.md,Minimal-recipe domain continued pretraining that needs no human curation beyond raw text.
F1,LangAdapt CPT,elhady2025languageadapt,parameters,token NLL on unlabeled text,Y,Y,Y,N/A, offline_corpus,ACL 2025,explicit,read/elhady2025languageadapt.md,Language-adaptation CPT showing emergent abilities arise from token-NLL on target-language corpora alone.
F1,Stability-Gap CPT,guo2025stabilitygap,parameters,token NLL on unlabeled text,Y,Y,Y,N/A, offline_corpus,ACL 2025,explicit,read/guo2025stabilitygap.md,CPT with a small replay buffer to close the early stability gap; signal is still token NLL.
F1,ReplayAlign CPT,abbes2025replayalign,parameters,token NLL on unlabeled text,Y,Y,Y,N/A, offline_corpus,NeurIPS 2025 Workshop,explicit,read/abbes2025replayalign.md,CPT recipe that aligns replay gradients with new-domain gradients; supervision is token NLL only.
F1,E2-LLM,liu2024e2llm,parameters,long-context NLL,Y,Y,Y,N/A, offline_corpus,ACL Findings 2024,explicit,read/liu2024e2llm.md,Long-context CPT via segment-and-summarize objective; gradient is sequence likelihood on engineered corpus.
F1,Data Eng 128K,fu2024dataengineering,parameters,long-context NLL,Y,Y,Y,N/A, offline_corpus,arXiv 2024,explicit,read/fu2024dataengineering.md,128K-context CPT by upsampling long documents; pure NLL on a re-balanced unlabeled mix.
F1,LongContext Scaling,xiong2024longcontext,parameters,long-context NLL,Y,Y,Y,N/A, offline_corpus,arXiv 2023,explicit,read/xiong2024longcontext.md,Long-context CPT recipe across 32K–128K; positional-embedding tweaks plus standard token NLL.
F1,TLM,hu2025test,parameters,test-stream NLL,Y,Y,Y,N/A, streaming_continual,ICML 2025,explicit,read/hu2025test.md,Test-time learning treats the test stream itself as a CPT corpus; gradient is sequence NLL.
F1,TTT-NN,jang2024tttnn,parameters,neighborhood NLL at test,Y,Y,Y,N/A, test_time_instance,ICLR 2024,explicit,read/jang2024tttnn.md,Test-time training on a retrieved neighborhood of the query; gradient is local-NLL only.
F1,Long TTT,bansal2026qttt,parameters,long-context test NLL,Y,Y,Y,N/A, test_time_instance,arXiv 2025,explicit,read/bansal2026qttt.md,Long-context TTT that adapts within a single long prompt via local NLL.
F1,In-Place TTT,feng2026inplace,parameters,interleaved-NLL within sequence,Y,Y,Y,N/A, within_sequence,ICLR 2026,explicit,read/feng2026inplace.md,"In-place TTT interleaves NLL updates with generation, persisting state across chunks of one sequence."
F1,EM-FT,agarwal2025unreasonable,parameters,per-token entropy,Y,Y,Y,N/A, offline_corpus,NeurIPS 2025,explicit,read/agarwal2025unreasonable.md,Entropy minimization on unlabeled prompts; the model's own per-token entropy is the loss or PG reward.
F1,One-shot EM,gao2025oneshot,parameters,per-prompt entropy,Y,Y,Y,N/A, few_sample_target,arXiv 2025,explicit,read/gao2025oneshot.md,"Single-prompt entropy minimization; gradient is the entropy of one rollout, no labels needed."
F1,EM-RL(seq),agarwal2025unreasonable,parameters,sequence-entropy as PG reward,Y,Y,Y,N/A, offline_corpus,NeurIPS 2025,explicit,read/agarwal2025unreasonable.md,Entropy minimization on unlabeled prompts; the model's own per-token entropy is the loss or PG reward.
F1,EM-RL(tok),agarwal2025unreasonable,parameters,token-entropy as PG reward,Y,Y,Y,N/A, offline_corpus,NeurIPS 2025,explicit,read/agarwal2025unreasonable.md,Entropy minimization on unlabeled prompts; the model's own per-token entropy is the loss or PG reward.
F1,RENT,prabhudesai2025rent,parameters,self-confidence reward,Y,Y,Y,N/A, offline_corpus,arXiv 2025,explicit,read/prabhudesai2025rent.md,Self-confidence reward (negative entropy) used as the PG signal; no answer key.
F1,RLSC,li2025rlsc,parameters,self-confidence reward,Y,Y,Y,N/A, offline_corpus,arXiv 2025,explicit,read/li2025rlsc.md,Reward learning from self-confidence on unlabeled prompts; PG against own probability mass.
F1,SLOT,hu2025slot,sample-local state,prompt-conditioned NLL,Y,Y,Y,N/A, test_time_instance,arXiv 2025,explicit,read/hu2025slot.md,"Per-prompt optimization vector trained at test time via NLL; sample-local state, no judge."
F1,SyTTA,xu2025you,sample-local state (LoRA),confidence,Y,Y,Y,N/A, test_time_instance,arXiv 2025,explicit,read/xu2025you.md,Test-time LoRA fitted from 4 extra unlabeled tokens; objective is intrinsic confidence.
F1,Model Whisper,kang2025modelwhisper,sample-local state (steering),confidence,Y,Y,Y,N/A, test_time_instance,arXiv 2025,explicit,read/kang2025modelwhisper.md,Steering vector adapted at test time from self-confidence; tiny sample-local update.
F1,ULDTTA,xu2026uldtta,sample-local state (layer-wise),NLL,Y,Y,Y,N/A, test_time_instance,arXiv 2026,explicit,read/xu2026uldtta.md,Layer-wise dynamic TTA where each layer is updated by its own NLL signal; no external supervision.
F1,VIGOR,wen2026verifierfreerlllmsintrinsic,parameters,teacher-forced gradient norm,Y,Y,Y,N/A, offline_corpus,arXiv 2026,explicit,read/wen2026verifierfreerlllmsintrinsic.md,Teacher-forced gradient norm of the policy itself used as intrinsic GRPO reward.
F1,Latent-GRPO,zhang2026silencejudgereinforcementlearning,parameters,terminal hidden-state geometry,Y,Y,Y,N/A, offline_corpus,arXiv 2026,explicit,read/zhang2026silencejudgereinforcementlearning.md,Terminal hidden-state geometry replaces an external judge as the RL reward signal.
F1,SSL-R1,xie2026sslr1selfsupervisedvisualreinforcement,parameters,visual SSL-puzzle reward,Y,Y,Y,N/A, offline_corpus,arXiv 2026,explicit,read/xie2026sslr1selfsupervisedvisualreinforcement.md,Visual self-supervised puzzles (jigsaw/rotation) generate the RL reward for a VLM.
F1/IV-bridge,SUDER,hong2025suderselfimprovingunifiedlarge,parameters,reverse-task likelihood reward,Y,Y,Y,Y, offline_corpus,arXiv 2025,explicit,read/hong2025suderselfimprovingunifiedlarge.md,Reverse-task likelihood serves as a prediction-statistic reward; Family-I/IV bridge marked with ^ddagger.
F2,EMPO,zhang2025rightquestion,parameters,semantic-cluster mass / entropy,Y,Y,Y,N, offline_corpus,arXiv 2025,explicit,read/zhang2025rightquestion.md,EMPO uses semantic-cluster mass over rollouts as the reward; B4 caveat: free-form variant uses external General-Verifier 1.5B SLM (math variant is clean).
F2,Intuitor,zhao2025intuitor,parameters,self-certainty (KL-to-uniform),Y,Y,Y,N/A, offline_corpus,ICLR 2026,explicit,read/zhao2025intuitor.md,Self-certainty (forward KL to uniform) over rollouts replaces external reward; intrinsic and label-free.
F2,CoVo,zhang2025covo,parameters,path consistency + volatility,Y,Y,Y,N/A, offline_corpus,arXiv 2025,explicit,read/zhang2025covo.md,Path consistency plus volatility over rollouts as the reward; no external answer key.
F2,Co-rewarding,zhang2026corewarding,parameters,pairwise contrastive agreement,Y,Y,Y,Y, offline_corpus,ICLR 2026,explicit,read/zhang2026corewarding.md,"Two co-evolving networks read each other's contrastive agreement as the reward, avoiding self-grading collapse."
F2,EvoLMM,thawakar2025evolmm,parameters,multi-rollout consistency (MM),Y,Y,Y,Y, offline_corpus,arXiv 2025,explicit,read/thawakar2025evolmm.md,EvoLMM closes a proposer-solver loop with multi-rollout consistency as the only reward signal (multimodal).
